Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
10.02.2024 10:00;10.02.2024 11:00;57.127,75;35.377,25
10.02.2024 11:00;10.02.2024 12:00;57.878,25;34.407,50
10.02.2024 12:00;10.02.2024 13:00;57.512,00;34.630,75
10.02.2024 13:00;10.02.2024 14:00;55.696,50;35.171,00
10.02.2024 14:00;10.02.2024 15:00;54.213,00;37.233,25
10.02.2024 15:00;10.02.2024 16:00;53.981,50;40.603,00
10.02.2024 16:00;10.02.2024 17:00;54.323,00;43.050,75
10.02.2024 17:00;10.02.2024 18:00;56.519,00;44.246,50
10.02.2024 18:00;10.02.2024 19:00;57.714,00;42.879,25
10.02.2024 19:00;10.02.2024 20:00;55.758,25;39.314,75
10.02.2024 20:00;10.02.2024 21:00;52.963,25;35.602,25
10.02.2024 21:00;10.02.2024 22:00;50.604,75;32.819,75
10.02.2024 22:00;10.02.2024 23:00;49.223,25;31.264,00
10.02.2024 23:00;11.02.2024 00:00;46.749,75;28.432,25
11.02.2024 00:00;11.02.2024 01:00;44.733,75;23.825,00
11.02.2024 01:00;11.02.2024 02:00;42.983,75;21.828,00
11.02.2024 02:00;11.02.2024 03:00;42.061,00;20.549,50
11.02.2024 03:00;11.02.2024 04:00;41.555,00;19.537,00
11.02.2024 04:00;11.02.2024 05:00;41.848,75;19.334,75
11.02.2024 05:00;11.02.2024 06:00;42.039,00;19.453,00
11.02.2024 06:00;11.02.2024 07:00;42.461,00;20.099,25
11.02.2024 07:00;11.02.2024 08:00;44.682,75;23.086,00
11.02.2024 08:00;11.02.2024 09:00;47.543,25;26.075,50
11.02.2024 09:00;11.02.2024 10:00;50.671,75;28.517,00
11.02.2024 10:00;11.02.2024 11:00;52.677,25;29.589,25
11.02.2024 11:00;11.02.2024 12:00;54.166,75;30.432,00
11.02.2024 12:00;11.02.2024 13:00;54.329,50;30.620,00
11.02.2024 13:00;11.02.2024 14:00;52.772,25;30.061,75
11.02.2024 14:00;11.02.2024 15:00;52.150,25;31.537,25
11.02.2024 15:00;11.02.2024 16:00;50.778,50;33.069,25
11.02.2024 16:00;11.02.2024 17:00;51.714,50;37.137,50
11.02.2024 17:00;11.02.2024 18:00;55.379,75;42.374,75
11.02.2024 18:00;11.02.2024 19:00;57.797,25;44.638,00
11.02.2024 19:00;11.02.2024 20:00;56.475,75;42.776,75
11.02.2024 20:00;11.02.2024 21:00;53.610,75;39.057,00
11.02.2024 21:00;11.02.2024 22:00;51.577,00;36.483,00
11.02.2024 22:00;11.02.2024 23:00;50.652,00;35.251,00
11.02.2024 23:00;12.02.2024 00:00;48.648,00;32.969,50
12.02.2024 00:00;12.02.2024 01:00;46.680,50;32.339,50
12.02.2024 01:00;12.02.2024 02:00;44.751,00;30.267,25
12.02.2024 02:00;12.02.2024 03:00;44.290,00;29.480,75
12.02.2024 03:00;12.02.2024 04:00;44.533,75;29.226,25
12.02.2024 04:00;12.02.2024 05:00;46.699,75;30.910,00
12.02.2024 05:00;12.02.2024 06:00;51.010,50;34.943,75
12.02.2024 06:00;12.02.2024 07:00;58.001,50;41.625,75
12.02.2024 07:00;12.02.2024 08:00;62.797,75;46.214,50
12.02.2024 08:00;12.02.2024 09:00;65.376,50;47.253,50
12.02.2024 09:00;12.02.2024 10:00;66.494,75;45.166,25
12.02.2024 10:00;12.02.2024 11:00;67.350,25;42.470,00
12.02.2024 11:00;12.02.2024 12:00;67.713,00;39.730,00
12.02.2024 12:00;12.02.2024 13:00;67.634,25;37.603,50
12.02.2024 13:00;12.02.2024 14:00;66.401,75;35.727,50
12.02.2024 14:00;12.02.2024 15:00;64.659,25;35.157,75
12.02.2024 15:00;12.02.2024 16:00;64.611,25;38.700,00
12.02.2024 16:00;12.02.2024 17:00;64.643,00;43.993,75
12.02.2024 17:00;12.02.2024 18:00;66.666,50;48.847,50
12.02.2024 18:00;12.02.2024 19:00;68.238,50;50.004,25
12.02.2024 19:00;12.02.2024 20:00;67.083,75;47.539,50
12.02.2024 20:00;12.02.2024 21:00;63.715,00;42.474,50
12.02.2024 21:00;12.02.2024 22:00;60.264,75;37.940,50
12.02.2024 22:00;12.02.2024 23:00;57.404,75;34.607,00
12.02.2024 23:00;13.02.2024 00:00;54.120,75;31.056,75
13.02.2024 00:00;13.02.2024 01:00;49.668,25;-
13.02.2024 01:00;13.02.2024 02:00;47.646,75;-
13.02.2024 02:00;13.02.2024 03:00;47.160,50;-
13.02.2024 03:00;13.02.2024 04:00;47.196,00;-
13.02.2024 04:00;13.02.2024 05:00;49.029,00;-
13.02.2024 05:00;13.02.2024 06:00;53.078,50;-
13.02.2024 06:00;13.02.2024 07:00;59.533,00;-
13.02.2024 07:00;13.02.2024 08:00;63.991,75;-
13.02.2024 08:00;13.02.2024 09:00;66.363,25;-
13.02.2024 09:00;13.02.2024 10:00;67.348,00;-
13.02.2024 10:00;13.02.2024 11:00;67.907,75;-
13.02.2024 11:00;13.02.2024 12:00;68.110,00;-
13.02.2024 12:00;13.02.2024 13:00;68.125,75;-
13.02.2024 13:00;13.02.2024 14:00;66.929,25;-
13.02.2024 14:00;13.02.2024 15:00;64.996,50;-
13.02.2024 15:00;13.02.2024 16:00;64.725,00;-
13.02.2024 16:00;13.02.2024 17:00;64.715,50;-
13.02.2024 17:00;13.02.2024 18:00;66.693,75;-
13.02.2024 18:00;13.02.2024 19:00;68.291,25;-
13.02.2024 19:00;13.02.2024 20:00;67.436,00;-
13.02.2024 20:00;13.02.2024 21:00;64.096,00;-
13.02.2024 21:00;13.02.2024 22:00;60.521,75;-
13.02.2024 22:00;13.02.2024 23:00;57.309,25;-
13.02.2024 23:00;14.02.2024 00:00;53.774,75;-
14.02.2024 00:00;14.02.2024 01:00;48.441,00;27.478,25
14.02.2024 01:00;14.02.2024 02:00;47.186,50;25.743,25
14.02.2024 02:00;14.02.2024 03:00;46.847,50;24.524,50
14.02.2024 03:00;14.02.2024 04:00;47.051,50;23.835,50
14.02.2024 04:00;14.02.2024 05:00;48.831,75;24.978,25
14.02.2024 05:00;14.02.2024 06:00;52.364,50;28.030,25
14.02.2024 06:00;14.02.2024 07:00;58.821,75;33.983,50
14.02.2024 07:00;14.02.2024 08:00;63.456,25;38.629,00
14.02.2024 08:00;14.02.2024 09:00;65.845,50;39.580,00
14.02.2024 09:00;14.02.2024 10:00;66.903,75;38.209,75
14.02.2024 10:00;14.02.2024 11:00;67.702,00;37.070,00
14.02.2024 11:00;14.02.2024 12:00;67.942,75;36.370,75
14.02.2024 12:00;14.02.2024 13:00;67.909,25;36.295,25
14.02.2024 13:00;14.02.2024 14:00;66.778,75;36.372,00
14.02.2024 14:00;14.02.2024 15:00;64.853,50;37.086,75
14.02.2024 15:00;14.02.2024 16:00;64.674,50;40.449,75
14.02.2024 16:00;14.02.2024 17:00;64.638,75;43.672,00
14.02.2024 17:00;14.02.2024 18:00;66.453,50;47.160,50
14.02.2024 18:00;14.02.2024 19:00;67.833,25;48.768,25
14.02.2024 19:00;14.02.2024 20:00;66.782,50;47.549,75
14.02.2024 20:00;14.02.2024 21:00;63.279,75;43.489,00
14.02.2024 21:00;14.02.2024 22:00;59.733,75;39.786,25
14.02.2024 22:00;14.02.2024 23:00;56.546,25;36.767,50
14.02.2024 23:00;15.02.2024 00:00;53.195,50;33.845,00
15.02.2024 00:00;15.02.2024 01:00;47.742,50;28.127,75
15.02.2024 01:00;15.02.2024 02:00;46.308,50;27.558,50
15.02.2024 02:00;15.02.2024 03:00;45.541,50;27.815,50
15.02.2024 03:00;15.02.2024 04:00;45.484,50;28.867,75
15.02.2024 04:00;15.02.2024 05:00;46.758,75;31.112,50
15.02.2024 05:00;15.02.2024 06:00;49.772,75;34.907,25
15.02.2024 06:00;15.02.2024 07:00;55.955,25;41.681,50
15.02.2024 07:00;15.02.2024 08:00;61.527,25;47.618,25
15.02.2024 08:00;15.02.2024 09:00;64.159,75;48.519,75
15.02.2024 09:00;15.02.2024 10:00;65.549,50;46.525,75
15.02.2024 10:00;15.02.2024 11:00;66.181,25;43.800,75
15.02.2024 11:00;15.02.2024 12:00;66.844,25;42.016,75
15.02.2024 12:00;15.02.2024 13:00;66.750,50;40.412,00
15.02.2024 13:00;15.02.2024 14:00;66.336,25;40.049,75
15.02.2024 14:00;15.02.2024 15:00;65.046,75;41.150,75
15.02.2024 15:00;15.02.2024 16:00;63.876,50;43.965,50
15.02.2024 16:00;15.02.2024 17:00;62.918,50;47.086,00
15.02.2024 17:00;15.02.2024 18:00;64.099,00;49.807,25
15.02.2024 18:00;15.02.2024 19:00;64.994,00;49.375,25
15.02.2024 19:00;15.02.2024 20:00;63.748,50;46.651,25
15.02.2024 20:00;15.02.2024 21:00;60.361,00;41.837,75
15.02.2024 21:00;15.02.2024 22:00;56.962,50;37.291,50
15.02.2024 22:00;15.02.2024 23:00;53.934,00;33.576,25
15.02.2024 23:00;16.02.2024 00:00;50.357,25;29.546,25
16.02.2024 00:00;16.02.2024 01:00;47.509,25;25.123,25
16.02.2024 01:00;16.02.2024 02:00;45.846,00;22.958,50
16.02.2024 02:00;16.02.2024 03:00;45.148,00;21.819,75
16.02.2024 03:00;16.02.2024 04:00;45.423,00;21.864,50
16.02.2024 04:00;16.02.2024 05:00;46.881,75;23.135,00
16.02.2024 05:00;16.02.2024 06:00;49.904,75;25.663,25
16.02.2024 06:00;16.02.2024 07:00;56.401,25;31.362,75
16.02.2024 07:00;16.02.2024 08:00;61.302,25;35.639,50
16.02.2024 08:00;16.02.2024 09:00;64.031,00;34.704,75
16.02.2024 09:00;16.02.2024 10:00;65.119,50;30.415,75
16.02.2024 10:00;16.02.2024 11:00;65.532,25;27.047,50
16.02.2024 11:00;16.02.2024 12:00;65.697,75;25.897,50
16.02.2024 12:00;16.02.2024 13:00;64.810,75;25.448,75
16.02.2024 13:00;16.02.2024 14:00;64.018,25;26.548,50
16.02.2024 14:00;16.02.2024 15:00;62.263,50;27.944,25
16.02.2024 15:00;16.02.2024 16:00;61.528,75;30.849,50
16.02.2024 16:00;16.02.2024 17:00;60.964,50;33.999,25
16.02.2024 17:00;16.02.2024 18:00;62.590,00;37.587,00
16.02.2024 18:00;16.02.2024 19:00;64.141,25;38.983,00
16.02.2024 19:00;16.02.2024 20:00;62.367,75;37.047,00
16.02.2024 20:00;16.02.2024 21:00;59.063,50;33.549,50
16.02.2024 21:00;16.02.2024 22:00;55.680,25;30.517,75
16.02.2024 22:00;16.02.2024 23:00;52.494,50;28.061,25
16.02.2024 23:00;17.02.2024 00:00;49.066,25;25.386,25
17.02.2024 00:00;17.02.2024 01:00;46.135,75;24.273,25
17.02.2024 01:00;17.02.2024 02:00;43.634,75;21.947,00
17.02.2024 02:00;17.02.2024 03:00;42.723,00;21.371,50
17.02.2024 03:00;17.02.2024 04:00;42.487,75;21.198,25
17.02.2024 04:00;17.02.2024 05:00;42.383,75;20.857,50
17.02.2024 05:00;17.02.2024 06:00;42.983,00;21.207,25
17.02.2024 06:00;17.02.2024 07:00;44.339,00;22.211,00
17.02.2024 07:00;17.02.2024 08:00;46.724,25;25.015,00
17.02.2024 08:00;17.02.2024 09:00;49.780,00;27.335,50
17.02.2024 09:00;17.02.2024 10:00;52.700,00;27.977,25
17.02.2024 10:00;17.02.2024 11:00;54.453,75;27.251,50
17.02.2024 11:00;17.02.2024 12:00;55.137,25;26.959,50
17.02.2024 12:00;17.02.2024 13:00;54.728,00;26.957,50
17.02.2024 13:00;17.02.2024 14:00;53.529,25;27.270,50
17.02.2024 14:00;17.02.2024 15:00;52.043,00;29.463,75
17.02.2024 15:00;17.02.2024 16:00;51.349,75;34.918,25
17.02.2024 16:00;17.02.2024 17:00;51.617,00;42.224,25
17.02.2024 17:00;17.02.2024 18:00;53.669,25;48.767,25
17.02.2024 18:00;17.02.2024 19:00;55.693,75;51.831,00
17.02.2024 19:00;17.02.2024 20:00;54.452,00;51.192,50
17.02.2024 20:00;17.02.2024 21:00;51.407,50;48.777,00
17.02.2024 21:00;17.02.2024 22:00;48.921,00;46.675,75
17.02.2024 22:00;17.02.2024 23:00;47.516,50;45.226,25
17.02.2024 23:00;18.02.2024 00:00;44.941,50;42.003,25
18.02.2024 00:00;18.02.2024 01:00;42.267,50;34.270,50
18.02.2024 01:00;18.02.2024 02:00;40.751,00;30.952,25
18.02.2024 02:00;18.02.2024 03:00;40.088,00;28.651,00
18.02.2024 03:00;18.02.2024 04:00;39.935,00;26.857,00
18.02.2024 04:00;18.02.2024 05:00;40.233,00;25.558,00
18.02.2024 05:00;18.02.2024 06:00;40.731,50;24.472,00
18.02.2024 06:00;18.02.2024 07:00;41.106,50;22.879,00
18.02.2024 07:00;18.02.2024 08:00;42.692,00;22.791,75
18.02.2024 08:00;18.02.2024 09:00;45.338,00;21.324,50
18.02.2024 09:00;18.02.2024 10:00;48.191,00;18.496,00
18.02.2024 10:00;18.02.2024 11:00;50.376,75;16.207,75
18.02.2024 11:00;18.02.2024 12:00;51.609,25;14.814,00
18.02.2024 12:00;18.02.2024 13:00;51.628,75;14.824,25
18.02.2024 13:00;18.02.2024 14:00;50.052,75;15.846,75
18.02.2024 14:00;18.02.2024 15:00;48.981,75;18.756,25
18.02.2024 15:00;18.02.2024 16:00;48.666,50;22.653,75
18.02.2024 16:00;18.02.2024 17:00;49.300,25;26.969,25
18.02.2024 17:00;18.02.2024 18:00;51.693,50;31.144,50
18.02.2024 18:00;18.02.2024 19:00;54.315,25;33.870,50
18.02.2024 19:00;18.02.2024 20:00;53.214,50;32.508,50
18.02.2024 20:00;18.02.2024 21:00;51.199,00;29.634,50
18.02.2024 21:00;18.02.2024 22:00;49.366,75;26.912,50
18.02.2024 22:00;18.02.2024 23:00;48.495,25;25.220,25
18.02.2024 23:00;19.02.2024 00:00;45.658,00;21.563,25
19.02.2024 00:00;19.02.2024 01:00;45.730,75;13.956,25
19.02.2024 01:00;19.02.2024 02:00;44.225,25;12.076,00
19.02.2024 02:00;19.02.2024 03:00;43.708,75;11.929,00
19.02.2024 03:00;19.02.2024 04:00;44.158,75;12.952,50
19.02.2024 04:00;19.02.2024 05:00;46.281,00;15.867,25
19.02.2024 05:00;19.02.2024 06:00;49.672,25;20.555,50
19.02.2024 06:00;19.02.2024 07:00;56.274,75;28.379,00
19.02.2024 07:00;19.02.2024 08:00;61.911,25;34.856,25
19.02.2024 08:00;19.02.2024 09:00;64.776,25;36.404,00
19.02.2024 09:00;19.02.2024 10:00;66.494,25;35.008,50
19.02.2024 10:00;19.02.2024 11:00;67.642,75;32.666,25
19.02.2024 11:00;19.02.2024 12:00;68.414,00;30.611,50
19.02.2024 12:00;19.02.2024 13:00;68.040,50;29.102,00
19.02.2024 13:00;19.02.2024 14:00;67.361,50;29.096,00
19.02.2024 14:00;19.02.2024 15:00;66.082,00;30.870,75
19.02.2024 15:00;19.02.2024 16:00;64.620,25;34.235,25
19.02.2024 16:00;19.02.2024 17:00;63.919,00;38.358,25
19.02.2024 17:00;19.02.2024 18:00;65.138,50;42.421,50
19.02.2024 18:00;19.02.2024 19:00;66.148,50;43.919,25
19.02.2024 19:00;19.02.2024 20:00;64.895,50;42.436,25
19.02.2024 20:00;19.02.2024 21:00;61.405,25;38.007,75
19.02.2024 21:00;19.02.2024 22:00;57.923,75;33.854,75
19.02.2024 22:00;19.02.2024 23:00;55.193,25;31.132,00
19.02.2024 23:00;20.02.2024 00:00;51.718,00;27.848,50
20.02.2024 00:00;20.02.2024 01:00;48.402,75;25.191,50
20.02.2024 01:00;20.02.2024 02:00;46.796,50;23.779,50
20.02.2024 02:00;20.02.2024 03:00;46.230,75;23.436,50
20.02.2024 03:00;20.02.2024 04:00;46.481,75;23.985,75
20.02.2024 04:00;20.02.2024 05:00;48.238,50;26.414,00
20.02.2024 05:00;20.02.2024 06:00;51.380,75;30.688,50
20.02.2024 06:00;20.02.2024 07:00;57.447,50;37.704,00
20.02.2024 07:00;20.02.2024 08:00;62.829,25;43.858,75
20.02.2024 08:00;20.02.2024 09:00;65.550,25;44.587,25
20.02.2024 09:00;20.02.2024 10:00;66.991,25;41.409,00
20.02.2024 10:00;20.02.2024 11:00;67.805,25;36.847,00
20.02.2024 11:00;20.02.2024 12:00;68.105,25;32.001,50
20.02.2024 12:00;20.02.2024 13:00;67.769,75;28.156,00
20.02.2024 13:00;20.02.2024 14:00;67.229,75;26.649,25
20.02.2024 14:00;20.02.2024 15:00;65.898,00;27.500,25
20.02.2024 15:00;20.02.2024 16:00;64.408,50;30.926,25
20.02.2024 16:00;20.02.2024 17:00;63.848,50;36.104,50
20.02.2024 17:00;20.02.2024 18:00;65.088,25;40.080,50
20.02.2024 18:00;20.02.2024 19:00;66.252,75;40.193,75
20.02.2024 19:00;20.02.2024 20:00;65.260,25;37.476,00
20.02.2024 20:00;20.02.2024 21:00;61.714,50;31.820,75
20.02.2024 21:00;20.02.2024 22:00;58.237,75;26.806,50
20.02.2024 22:00;20.02.2024 23:00;55.302,50;23.331,25
20.02.2024 23:00;21.02.2024 00:00;51.729,75;19.349,75
21.02.2024 00:00;21.02.2024 01:00;47.240,75;17.180,50
21.02.2024 01:00;21.02.2024 02:00;45.347,75;15.255,00
21.02.2024 02:00;21.02.2024 03:00;44.594,25;14.136,00
21.02.2024 03:00;21.02.2024 04:00;45.165,00;14.208,00
21.02.2024 04:00;21.02.2024 05:00;47.174,00;16.459,50
21.02.2024 05:00;21.02.2024 06:00;51.013,00;21.481,75
21.02.2024 06:00;21.02.2024 07:00;57.209,00;29.372,75
21.02.2024 07:00;21.02.2024 08:00;62.684,25;36.997,25
21.02.2024 08:00;21.02.2024 09:00;65.373,75;38.943,25
21.02.2024 09:00;21.02.2024 10:00;66.868,25;36.570,00
21.02.2024 10:00;21.02.2024 11:00;67.750,00;32.411,00
21.02.2024 11:00;21.02.2024 12:00;68.309,50;28.287,50
21.02.2024 12:00;21.02.2024 13:00;67.932,50;25.693,25
21.02.2024 13:00;21.02.2024 14:00;67.442,00;25.972,50
21.02.2024 14:00;21.02.2024 15:00;66.048,50;28.186,50
21.02.2024 15:00;21.02.2024 16:00;64.591,75;32.711,25
21.02.2024 16:00;21.02.2024 17:00;64.004,75;36.990,50
21.02.2024 17:00;21.02.2024 18:00;65.207,25;38.568,25
21.02.2024 18:00;21.02.2024 19:00;66.097,75;36.383,75
21.02.2024 19:00;21.02.2024 20:00;65.038,75;32.545,50
21.02.2024 20:00;21.02.2024 21:00;61.383,25;26.804,25
21.02.2024 21:00;21.02.2024 22:00;57.784,50;21.466,75
21.02.2024 22:00;21.02.2024 23:00;54.878,00;18.061,25
21.02.2024 23:00;22.02.2024 00:00;51.181,00;14.251,50
22.02.2024 00:00;22.02.2024 01:00;48.639,75;10.529,25
22.02.2024 01:00;22.02.2024 02:00;46.864,50;9.488,75
22.02.2024 02:00;22.02.2024 03:00;46.197,50;10.272,75
22.02.2024 03:00;22.02.2024 04:00;46.933,50;13.435,50
22.02.2024 04:00;22.02.2024 05:00;48.524,75;17.568,25
22.02.2024 05:00;22.02.2024 06:00;51.206,25;22.298,50
22.02.2024 06:00;22.02.2024 07:00;57.788,25;30.434,75
22.02.2024 07:00;22.02.2024 08:00;63.320,50;37.424,50
22.02.2024 08:00;22.02.2024 09:00;66.402,25;40.232,00
22.02.2024 09:00;22.02.2024 10:00;67.594,75;39.733,00
22.02.2024 10:00;22.02.2024 11:00;68.323,50;38.345,50
22.02.2024 11:00;22.02.2024 12:00;68.349,25;36.413,25
22.02.2024 12:00;22.02.2024 13:00;68.023,25;34.741,25
22.02.2024 13:00;22.02.2024 14:00;67.161,75;33.318,50
22.02.2024 14:00;22.02.2024 15:00;65.186,50;31.653,50
22.02.2024 15:00;22.02.2024 16:00;64.155,25;31.055,25
22.02.2024 16:00;22.02.2024 17:00;63.529,00;29.592,75
22.02.2024 17:00;22.02.2024 18:00;65.771,00;28.810,75
22.02.2024 18:00;22.02.2024 19:00;66.829,50;26.063,50
22.02.2024 19:00;22.02.2024 20:00;66.188,25;22.512,75
22.02.2024 20:00;22.02.2024 21:00;62.457,50;16.521,25
22.02.2024 21:00;22.02.2024 22:00;58.637,75;11.249,00
22.02.2024 22:00;22.02.2024 23:00;55.569,75;8.036,25
22.02.2024 23:00;23.02.2024 00:00;51.874,75;3.633,25
23.02.2024 00:00;23.02.2024 01:00;49.773,00;1.223,00
23.02.2024 01:00;23.02.2024 02:00;47.979,25;863,75
23.02.2024 02:00;23.02.2024 03:00;47.038,75;475,50
23.02.2024 03:00;23.02.2024 04:00;47.835,00;1.410,75
23.02.2024 04:00;23.02.2024 05:00;49.662,25;3.574,75
23.02.2024 05:00;23.02.2024 06:00;52.646,50;8.279,50
23.02.2024 06:00;23.02.2024 07:00;58.761,75;15.962,00
23.02.2024 07:00;23.02.2024 08:00;63.513,75;22.980,50
23.02.2024 08:00;23.02.2024 09:00;66.041,00;24.306,25
23.02.2024 09:00;23.02.2024 10:00;66.928,00;20.667,25
23.02.2024 10:00;23.02.2024 11:00;67.445,25;15.764,50
23.02.2024 11:00;23.02.2024 12:00;67.328,50;13.314,50
23.02.2024 12:00;23.02.2024 13:00;67.023,75;13.149,00
23.02.2024 13:00;23.02.2024 14:00;65.493,75;12.880,50
23.02.2024 14:00;23.02.2024 15:00;64.003,00;15.161,25
23.02.2024 15:00;23.02.2024 16:00;63.296,00;21.568,50
23.02.2024 16:00;23.02.2024 17:00;62.836,00;30.016,00
23.02.2024 17:00;23.02.2024 18:00;64.398,00;38.116,25
23.02.2024 18:00;23.02.2024 19:00;65.836,25;41.284,75
23.02.2024 19:00;23.02.2024 20:00;64.867,75;40.427,00
23.02.2024 20:00;23.02.2024 21:00;61.262,25;36.993,25
23.02.2024 21:00;23.02.2024 22:00;57.453,50;33.773,75
23.02.2024 22:00;23.02.2024 23:00;54.290,75;31.884,50
23.02.2024 23:00;24.02.2024 00:00;50.930,75;29.999,25
24.02.2024 00:00;24.02.2024 01:00;46.331,25;29.623,00
24.02.2024 01:00;24.02.2024 02:00;44.302,50;28.686,00
24.02.2024 02:00;24.02.2024 03:00;42.996,50;28.137,00
24.02.2024 03:00;24.02.2024 04:00;42.594,50;28.169,00
24.02.2024 04:00;24.02.2024 05:00;43.021,75;28.837,00
24.02.2024 05:00;24.02.2024 06:00;43.779,00;29.748,75
24.02.2024 06:00;24.02.2024 07:00;45.356,50;31.314,50
24.02.2024 07:00;24.02.2024 08:00;48.066,50;33.148,25
24.02.2024 08:00;24.02.2024 09:00;51.464,00;31.270,00
24.02.2024 09:00;24.02.2024 10:00;54.206,25;27.152,75
24.02.2024 10:00;24.02.2024 11:00;55.513,00;22.977,75
24.02.2024 11:00;24.02.2024 12:00;56.022,50;18.749,25
24.02.2024 12:00;24.02.2024 13:00;55.469,25;15.416,00
24.02.2024 13:00;24.02.2024 14:00;54.183,25;13.703,50
24.02.2024 14:00;24.02.2024 15:00;52.856,50;14.655,00
24.02.2024 15:00;24.02.2024 16:00;52.106,50;19.858,50
24.02.2024 16:00;24.02.2024 17:00;52.725,75;28.649,50
24.02.2024 17:00;24.02.2024 18:00;54.615,00;36.506,75
24.02.2024 18:00;24.02.2024 19:00;56.932,75;38.981,00
24.02.2024 19:00;24.02.2024 20:00;55.883,25;36.179,50
24.02.2024 20:00;24.02.2024 21:00;52.840,50;31.032,00
24.02.2024 21:00;24.02.2024 22:00;50.119,50;27.097,50
24.02.2024 22:00;24.02.2024 23:00;49.033,00;25.686,75
24.02.2024 23:00;25.02.2024 00:00;46.281,50;22.909,75
25.02.2024 00:00;25.02.2024 01:00;43.269,00;21.676,75
25.02.2024 01:00;25.02.2024 02:00;41.260,25;20.180,00
25.02.2024 02:00;25.02.2024 03:00;40.108,75;19.787,25
25.02.2024 03:00;25.02.2024 04:00;39.931,75;20.447,50
25.02.2024 04:00;25.02.2024 05:00;40.203,00;21.373,50
25.02.2024 05:00;25.02.2024 06:00;40.578,25;22.194,00
25.02.2024 06:00;25.02.2024 07:00;40.728,25;22.592,00
25.02.2024 07:00;25.02.2024 08:00;42.429,50;24.036,25
25.02.2024 08:00;25.02.2024 09:00;45.891,25;23.092,00
25.02.2024 09:00;25.02.2024 10:00;49.101,25;20.216,50
25.02.2024 10:00;25.02.2024 11:00;51.489,00;17.677,50
25.02.2024 11:00;25.02.2024 12:00;53.108,50;16.323,00
25.02.2024 12:00;25.02.2024 13:00;52.721,50;15.622,00
25.02.2024 13:00;25.02.2024 14:00;50.823,00;15.700,50
25.02.2024 14:00;25.02.2024 15:00;49.172,75;18.563,25
25.02.2024 15:00;25.02.2024 16:00;47.874,50;25.144,50
25.02.2024 16:00;25.02.2024 17:00;48.561,25;35.355,50
25.02.2024 17:00;25.02.2024 18:00;51.304,00;44.477,25
25.02.2024 18:00;25.02.2024 19:00;54.218,25;47.574,25
25.02.2024 19:00;25.02.2024 20:00;54.012,50;46.001,75
25.02.2024 20:00;25.02.2024 21:00;52.003,50;42.999,00
25.02.2024 21:00;25.02.2024 22:00;50.396,25;40.850,50
25.02.2024 22:00;25.02.2024 23:00;49.436,50;39.634,00
25.02.2024 23:00;26.02.2024 00:00;46.758,50;36.902,75
26.02.2024 00:00;26.02.2024 01:00;44.370,00;35.892,50
26.02.2024 01:00;26.02.2024 02:00;42.883,50;34.093,25
26.02.2024 02:00;26.02.2024 03:00;42.389,50;33.204,00
26.02.2024 03:00;26.02.2024 04:00;43.046,75;32.811,25
26.02.2024 04:00;26.02.2024 05:00;45.133,25;34.431,25
26.02.2024 05:00;26.02.2024 06:00;49.233,75;37.910,50
26.02.2024 06:00;26.02.2024 07:00;56.314,75;44.162,00
26.02.2024 07:00;26.02.2024 08:00;61.846,25;48.660,25
26.02.2024 08:00;26.02.2024 09:00;65.170,75;48.519,25
26.02.2024 09:00;26.02.2024 10:00;66.248,00;45.265,25
26.02.2024 10:00;26.02.2024 11:00;66.969,75;42.616,25
26.02.2024 11:00;26.02.2024 12:00;67.152,75;40.996,25
26.02.2024 12:00;26.02.2024 13:00;66.654,50;40.176,25
26.02.2024 13:00;26.02.2024 14:00;65.414,75;40.263,00
26.02.2024 14:00;26.02.2024 15:00;63.836,25;41.035,50
26.02.2024 15:00;26.02.2024 16:00;62.581,50;42.741,25
26.02.2024 16:00;26.02.2024 17:00;62.091,75;45.142,25
26.02.2024 17:00;26.02.2024 18:00;64.261,50;48.052,50
26.02.2024 18:00;26.02.2024 19:00;65.245,75;47.480,25
26.02.2024 19:00;26.02.2024 20:00;64.754,00;45.853,00
26.02.2024 20:00;26.02.2024 21:00;61.485,25;42.357,75
26.02.2024 21:00;26.02.2024 22:00;58.083,50;39.609,75
26.02.2024 22:00;26.02.2024 23:00;55.083,75;37.811,00
26.02.2024 23:00;27.02.2024 00:00;51.252,50;35.422,00
27.02.2024 00:00;27.02.2024 01:00;47.516,00;33.571,50
27.02.2024 01:00;27.02.2024 02:00;45.790,25;33.062,50
27.02.2024 02:00;27.02.2024 03:00;45.105,75;33.321,00
27.02.2024 03:00;27.02.2024 04:00;45.690,00;34.647,75
27.02.2024 04:00;27.02.2024 05:00;47.433,50;36.948,75
27.02.2024 05:00;27.02.2024 06:00;51.126,50;41.339,25
27.02.2024 06:00;27.02.2024 07:00;57.785,50;48.900,25
27.02.2024 07:00;27.02.2024 08:00;63.156,00;54.881,50
27.02.2024 08:00;27.02.2024 09:00;66.184,75;56.371,25
27.02.2024 09:00;27.02.2024 10:00;67.306,25;54.739,50
27.02.2024 10:00;27.02.2024 11:00;67.886,75;52.210,25
27.02.2024 11:00;27.02.2024 12:00;67.750,50;49.403,75
27.02.2024 12:00;27.02.2024 13:00;66.936,50;47.667,25
27.02.2024 13:00;27.02.2024 14:00;65.726,50;47.239,75
